Month,Interest
2006-01,26
2006-02,24
2006-03,24
2006-04,23
2006-05,24
2006-06,23
2006-07,23
2006-08,24
2006-09,100
2006-10,28
2006-11,23
2006-12,22
2007-01,24
2007-02,22
2007-03,22
2007-04,21
2007-05,22
2007-06,21
2007-07,22
2007-08,23
2007-09,27
2007-10,23
2007-11,22
2007-12,21
2008-01,23
2008-02,21
2008-03,21
2008-04,21
2008-05,20
2008-06,21
2008-07,21
2008-08,21
2008-09,21
2008-10,21
2008-11,20
2008-12,20
2009-01,21
2009-02,20
2009-03,20
2009-04,19
2009-05,19
2009-06,20
2009-07,27
2009-08,20
2009-09,20
2009-10,21
2009-11,19
2009-12,19
2010-01,21
2010-02,20
2010-03,20
2010-04,20
2010-05,20
2010-06,22
2010-07,21
2010-08,20
2010-09,19
2010-10,21
2010-11,20
2010-12,20
2011-01,23
2011-02,22
2011-03,21
2011-04,20
2011-05,19
2011-06,20
2011-07,19
2011-08,27
2011-09,22
2011-10,87
2011-11,26
2011-12,23
2012-01,23
2012-02,22
2012-03,21
2012-04,20
2012-05,20
2012-06,20
2012-07,22
2012-08,21
2012-09,23
2012-10,22
2012-11,20
2012-12,20
2013-01,21
2013-02,20
2013-03,20
2013-04,19
2013-05,19
2013-06,20
2013-07,21
2013-08,22
2013-09,21
2013-10,21
2013-11,21
2013-12,20
2014-01,21
2014-02,20
2014-03,22
2014-04,21
2014-05,20
2014-06,18
2014-07,18
2014-08,20
2014-09,19
2014-10,20
2014-11,19
2014-12,18
2015-01,20
2015-02,20
2015-03,20
2015-04,19
2015-05,18
2015-06,19
2015-07,18
2015-08,18
2015-09,20
2015-10,23
2015-11,21
2015-12,26
2016-01,22
2016-02,20
2016-03,19
2016-04,18
2016-05,18
2016-06,17
2016-07,17
2016-08,17
2016-09,18
2016-10,18
2016-11,20
2016-12,17
2017-01,20
2017-02,21
2017-03,18
2017-04,23
2017-05,17
2017-06,20
2017-07,17
2017-08,17
2017-09,16
2017-10,16
2017-11,17
2017-12,17
2018-01,18
2018-02,18
2018-03,19
2018-04,16
2018-05,16
2018-06,16
2018-07,16
2018-08,16
2018-09,16
2018-10,17
2018-11,17
2018-12,16
2019-01,17
2019-02,16
